mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	Trill:trill	crescendo_hairpin	decrescendo_hairpin
22	21	105/2	105/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	201										
23	22	53	53	0.25		0	0	Chord	3/8	1	1	1/16		1/16	1	202							33			
23	22	213/4	213/4	0.25		1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	203							33			
23	22	107/2	107/2	0.25		1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	204							33			
23	22	215/4	215/4	0.25		3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	205							33			
23	22	54	54	0.25		1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	206							33			
23	22	217/4	217/4	0.25		5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	207										
23	22	53	53	0.5		0	0	Chord	3/8	2	1	1/8		1/8	1	208							34			
23	22	107/2	107/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	209							34			
23	22	54	54	0.5		1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	210										
24	23	109/2	109/2	0.25		0	0	Chord	3/8	1	1	1/16		1/16	1	211							35			
24	23	219/4	219/4	0.25		1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	212							35			
24	23	55	55	0.25		1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	213							35			
24	23	221/4	221/4	0.25		3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	214							35			
24	23	111/2	111/2	0.25		1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	215							35			
24	23	223/4	223/4	0.25		5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	216										
24	23	109/2	109/2	0.5		0	0	Chord	3/8	2	1	1/8		1/8	1	217							36			
24	23	55	55	0.5		1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	218							36			
24	23	111/2	111/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	219										
25	24	56	56	0.0		0	0	Dynamic	3/8	1	1	0					mf									
25	24	56	56	1.5		0	0	Chord	3/8	1	1	3/8		1/4	3/2	220		articTenutoAbove								
25	24	56	56	0.5		0	0	Chord	3/8	1	2	1/8		1/8	1	221										
25	24	113/2	113/2	0.5		1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	222										
25	24	57	57	0.5		1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	223										
25	24	56	56	1.5		0	0	Chord	3/8	2	1	3/8		1/4	3/2	224										
26	25	115/2	115/2	1.5		0	0	Chord	3/8	1	1	3/8		1/4	3/2	225										
26	25	115/2	115/2	0.5		0	0	Chord	3/8	1	2	1/8		1/8	1	226										
26	25	58	58	0.25		1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	227										
26	25	233/4	233/4	0.25		3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	228										
26	25	117/2	117/2	0.5		1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	229										
27	26	59	59	0.0		0	0	Dynamic	3/8	1	1	0					p									
27	26	59	59	1.5		0	0	Chord	3/8	1	1	3/8		1/4	3/2	230		articTenutoAbove								
27	26	59	59	0.5		0	0	Chord	3/8	1	2	1/8		1/8	1	231										
27	26	119/2	119/2	0.5		1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	232										
27	26	60	60	0.5		1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	233										
27	26	59	59	1.5		0	0	Chord	3/8	2	1	3/8		1/4	3/2	234										
28	27	121/2	121/2	1.5		0	0	Chord	3/8	1	1	3/8		1/4	3/2	235										
28	27	121/2	121/2	0.5		0	0	Chord	3/8	1	2	1/8		1/8	1	236										
28	27	61	61	0.25		1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	237										
28	27	245/4	245/4	0.25		3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	238										
28	27	123/2	123/2	0.5		1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	239										
29	28	62	62	0.0		0	0	Dynamic	3/8	1	1	0					mf									
29	28	62	62	0.0		0	0	StaffText	3/8	1	1	0							"<font size=""9""/><i>avec charme</i>"							
29	28	62	62	0.5		0	0	Chord	3/8	1	1	1/8		1/8	1	240							37			
29	28	125/2	125/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	241							37			
29	28	63	63	0.5		1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	242							37			
29	28	62	62	0.5		0	0	Chord	3/8	2	1	1/8		1/8	1	243							38			
29	28	125/2	125/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	244							38			
29	28	63	63	0.5		1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	245										
30	29	127/2	127/2	0.5		0	0	Chord	3/8	1	1	1/8		1/8	1	246							37			
30	29	64	64	0.5		1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	247							37			
30	29	129/2	129/2	0.5		1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	248							37			
30	29	127/2	127/2	0.5		0	0	Chord	3/8	1	2	1/8		1/8	1	249							39			
30	29	64	64	0.5		1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	250							39			
30	29	129/2	129/2	0.5		1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	251										
31	30	65	65	0.5		0	0	Chord	3/8	1	1	1/8		1/8	1	252							37			
31	30	131/2	131/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	253							37			
31	30	66	66	0.5		1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	254							37			
31	30	65	65	0.5		0	0	Chord	3/8	1	2	1/8		1/8	1	255							40			
31	30	131/2	131/2	0.5		1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	256							40			
31	30	66	66	0.5		1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	257										
32	31	133/2	133/2	0.0		0	0	Chord	3/8	1	1	0	grace16after	1/32	1	258							37			
32	31	133/2	133/2	0.0		0	0	Chord	3/8	1	1	0	grace16after	1/32	1	259							37, 41			
32	31	133/2	133/2	0.5		0	0	Chord	3/8	1	1	1/8		1/8	1	260							37, 41			
32	31	67	67	0.5		1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	261							37			
